Provinsi,Rumah Sakit,Puskesmas,Dokter Praktik Perorangan,Klinik Utama,Klinik Pratama,Apotek,Total
Aceh,72,360,78,29,117,492,1148
Sumatera Utara,222,615,128,14,1491,1431,3901
Sumatera Barat,80,279,107,19,225,571,1281
Riau,76,234,74,6,160,771,1321
Jambi,41,207,68,2,157,418,893
Sumatera Selatan,87,345,225,20,395,614,1686
Bengkulu,26,179,97,3,59,288,652
Lampung,80,315,117,10,408,655,1585
Kepulauan Bangka Belitung,27,64,30,19,78,200,418
Kepulauan Riau,36,93,8,21,292,305,755
DKI Jakarta,193,315,16,213,786,2055,3578
Jawa Barat,388,1.086,466,190,1088,4874,8092
Jawa Tengah,324,880,1047,166,1375,3768,7560
Daerah Istimewa Yogyakarta,81,121,103,8,193,603,1109
Jawa Timur,400,971,682,130,850,4250,7283
Banten,123,245,7,27,953,1632,2987
Bali,73,120,301,33,237,885,1649
Nusa Tenggara Barat,43,175,111,19,95,530,973
Nusa Tenggara Timur,56,421,89,6,98,379,1049
Kalimantan Barat,53,247,91,12,96,339,838
Kalimantan Tengah,30,205,64,6,189,153,647
Kalimantan Selatan,52,237,150,13,40,494,986
Kalimantan Timur,60,188,114,14,279,724,1379
Kalimantan Utara,12,56,28,2,10,86,194
Sulawesi Utara,53,198,151,1,23,284,710
Sulawesi Tengah,40,215,40,6,50,437,788
Sulawesi Selatan,120,469,182,35,220,1329,2355
Sulawesi Tenggara,38,293,67,7,59,489,953
Gorontalo,17,93,27,0,35,183,355
Sulawesi Barat,14,98,35,2,2,130,281
Maluku,33,222,32,1,38,175,501
Maluku Utara,22,147,31,4,3,145,352
Papua Barat,23,162,28,2,33,169,417
Papua,47,437,57,2,104,341,988
Indonesia,3042,10292,4851,1042,10238,30199,59664
