Province,Rumah sakit,Puskesmas,Dokter Praktik Perorangan,Klink Utama,Klink Pratama,Apotek,Total
Aceh,119,554,78,48,277,492,1568
Sumatera Utara,350,763,128,99,802,1431,3573
Sumatera Barat,147,363,107,89,208,571,1485
Riau,123,326,74,19,416,771,1729
Jambi,83,287,68,41,122,418,1019
Sumatera Selatan,142,380,225,58,313,614,1732
Bengkulu,39,203,97,7,64,288,698
Lampung,129,370,117,41,284,655,1596
Kepulauan Bangka Belitung,34,70,30,11,59,200,404
DKI Jakarta,505,616,8,131,705,305,2270
Jawa Barat,748,1317,16,117,2091,2055,6344
Jawa Tengah,541,1159,466,101,1145,4874,8286
Daerah Istimewa Yogyakarta,106,140,1047,12,160,3768,5233
Jawa Timur,657,1169,103,126,1252,603,3910
Banten,272,266,682,19,711,4250,6200
Bali,112,192,7,16,186,1632,2145
Nusa Tenggara Barat,60,206,301,5,91,885,1548
Nusa Tenggara Timur,78,579,111,12,130,530,1440
Kalimantan Barat,98,343,89,57,150,379,1116
Kalimantan Tengah,46,262,91,4,129,339,871
Kalimantan Selatan,79,308,64,15,160,153,779
Kalimantan Timur,123,209,150,64,327,494,1367
Sulawesi Utara,72,261,114,23,96,724,1290
Sulawesi Tengah,60,291,28,15,103,86,583
Sulawesi Selatan,171,664,151,83,324,284,1677
Sulawesi Tenggara,53,334,40,17,87,437,968
Gorontalo,35,109,182,10,45,1329,1710
Maluku,41,254,67,6,33,489,890
Maluku Utara,39,198,27,6,54,183,507
Papua,54,590,35,11,112,130,932
Papua Barat,30,222,32,5,44,175,508
Sulawesi Barat,24,113,31,3,30,145,346
Kepulauan Riau,56,155,28,12,214,169,634
Kalimantan Utara,21,64,57,1,40,341,524
Indonesia,5247,13337,4851,1284,10964,30199,65882
